trial_id,config_id,k_margin,base_accuracy,steps,voting_correct,single_correct,total_samples,converged,elapsed_ms
0,k1_live,1,0,1,true,true,1,true,235
1,k1_live,1,0,1,false,false,1,true,310
2,k1_live,1,0,1,false,false,1,true,280
3,k1_live,1,0,1,false,false,1,true,272
4,k1_live,1,0,1,false,false,1,true,236
5,k1_live,1,0,1,true,false,1,true,256
6,k1_live,1,0,1,false,false,1,true,285
7,k1_live,1,0,1,false,false,1,true,323
8,k1_live,1,0,1,false,false,1,true,289
9,k1_live,1,0,1,true,true,1,true,288
10,k1_live,1,0,1,false,false,1,true,334
11,k1_live,1,0,1,false,false,1,true,221
12,k1_live,1,0,1,true,true,1,true,284
13,k1_live,1,0,1,false,false,1,true,286
14,k1_live,1,0,1,false,false,1,true,285
15,k1_live,1,0,1,false,false,1,true,276
16,k1_live,1,0,1,false,false,1,true,312
17,k1_live,1,0,1,true,false,1,true,289
18,k1_live,1,0,1,false,false,1,true,299
19,k1_live,1,0,1,false,false,1,true,282
20,k1_live,1,0,1,false,false,1,true,261
21,k1_live,1,0,1,true,true,1,true,271
22,k1_live,1,0,1,false,false,1,true,266
23,k1_live,1,0,1,false,false,1,true,231
24,k1_live,1,0,1,true,true,1,true,310
25,k1_live,1,0,1,false,false,1,true,299
26,k1_live,1,0,1,false,false,1,true,296
27,k1_live,1,0,1,false,false,1,true,292
28,k1_live,1,0,1,false,false,1,true,276
29,k1_live,1,0,1,true,false,1,true,303
30,k1_live,1,0,1,false,false,1,true,280
31,k1_live,1,0,1,false,false,1,true,307
32,k1_live,1,0,1,false,false,1,true,346
33,k1_live,1,0,1,true,true,1,true,278
34,k1_live,1,0,1,false,false,1,true,274
35,k1_live,1,0,1,false,false,1,true,271
36,k1_live,1,0,1,true,true,1,true,258
37,k1_live,1,0,1,false,false,1,true,266
38,k1_live,1,0,1,false,false,1,true,232
39,k1_live,1,0,1,false,false,1,true,324
40,k1_live,1,0,1,false,false,1,true,406
41,k1_live,1,0,1,true,false,1,true,294
42,k1_live,1,0,1,false,false,1,true,310
43,k1_live,1,0,1,false,false,1,true,234
44,k1_live,1,0,1,false,false,1,true,272
45,k1_live,1,0,1,true,true,1,true,272
46,k1_live,1,0,1,false,false,1,true,252
47,k1_live,1,0,1,false,false,1,true,454
48,k1_live,1,0,1,true,true,1,true,248
49,k1_live,1,0,1,false,false,1,true,326
50,k1_live,1,0,1,false,false,1,true,327
51,k1_live,1,0,1,false,false,1,true,247
52,k1_live,1,0,1,false,false,1,true,279
53,k1_live,1,0,1,true,true,1,true,258
54,k1_live,1,0,1,false,false,1,true,260
55,k1_live,1,0,1,false,false,1,true,233
56,k1_live,1,0,1,false,false,1,true,263
57,k1_live,1,0,1,true,true,1,true,292
58,k1_live,1,0,1,false,false,1,true,340
59,k1_live,1,0,1,false,false,1,true,302
60,k1_live,1,0,1,true,true,1,true,251
61,k1_live,1,0,1,false,false,1,true,270
62,k1_live,1,0,1,false,false,1,true,271
63,k1_live,1,0,1,false,false,1,true,265
64,k1_live,1,0,1,false,false,1,true,272
65,k1_live,1,0,1,true,false,1,true,277
66,k1_live,1,0,1,false,false,1,true,287
67,k1_live,1,0,1,false,false,1,true,330
68,k1_live,1,0,1,false,false,1,true,301
69,k1_live,1,0,1,true,true,1,true,253
70,k1_live,1,0,1,false,false,1,true,259
71,k1_live,1,0,1,false,false,1,true,293
72,k1_live,1,0,1,true,true,1,true,234
73,k1_live,1,0,1,false,false,1,true,218
74,k1_live,1,0,1,false,false,1,true,298
75,k1_live,1,0,1,false,false,1,true,234
76,k1_live,1,0,1,false,false,1,true,280
77,k1_live,1,0,1,true,false,1,true,275
78,k1_live,1,0,1,false,false,1,true,289
79,k1_live,1,0,1,false,false,1,true,285
80,k1_live,1,0,1,false,false,1,true,325
81,k1_live,1,0,1,true,true,1,true,315
82,k1_live,1,0,1,false,false,1,true,255
83,k1_live,1,0,1,false,false,1,true,255
84,k1_live,1,0,1,true,true,1,true,251
85,k1_live,1,0,1,false,false,1,true,278
86,k1_live,1,0,1,false,false,1,true,229
87,k1_live,1,0,1,false,false,1,true,247
88,k1_live,1,0,1,false,false,1,true,240
89,k1_live,1,0,1,true,true,1,true,267
90,k1_live,1,0,1,false,false,1,true,393
91,k1_live,1,0,1,false,false,1,true,269
92,k1_live,1,0,1,false,false,1,true,241
93,k1_live,1,0,1,true,true,1,true,225
94,k1_live,1,0,1,false,false,1,true,252
95,k1_live,1,0,1,false,false,1,true,245
96,k1_live,1,0,1,true,true,1,true,246
97,k1_live,1,0,1,false,false,1,true,240
98,k1_live,1,0,1,false,false,1,true,244
99,k1_live,1,0,1,false,false,1,true,262
100,k1_live,1,0,1,false,false,1,true,232
101,k1_live,1,0,1,true,false,1,true,247
102,k1_live,1,0,1,false,false,1,true,224
103,k1_live,1,0,1,false,false,1,true,204
104,k1_live,1,0,1,false,false,1,true,282
105,k1_live,1,0,1,true,true,1,true,232
106,k1_live,1,0,1,false,false,1,true,264
107,k1_live,1,0,1,false,false,1,true,229
108,k1_live,1,0,1,true,true,1,true,234
109,k1_live,1,0,1,false,false,1,true,284
110,k1_live,1,0,1,false,false,1,true,224
111,k1_live,1,0,1,false,false,1,true,266
112,k1_live,1,0,1,false,false,1,true,222
113,k1_live,1,0,1,true,false,1,true,292
114,k1_live,1,0,1,false,false,1,true,220
115,k1_live,1,0,1,false,false,1,true,252
116,k1_live,1,0,1,false,false,1,true,308
117,k1_live,1,0,1,true,true,1,true,244
118,k1_live,1,0,1,false,false,1,true,272
119,k1_live,1,0,1,false,false,1,true,180
120,k1_live,1,0,1,true,true,1,true,229
121,k1_live,1,0,1,false,false,1,true,261
122,k1_live,1,0,1,false,false,1,true,288
123,k1_live,1,0,1,false,false,1,true,220
124,k1_live,1,0,1,false,false,1,true,248
125,k1_live,1,0,1,true,false,1,true,235
126,k1_live,1,0,1,false,false,1,true,269
127,k1_live,1,0,1,false,false,1,true,224
128,k1_live,1,0,1,false,false,1,true,279
129,k1_live,1,0,1,true,true,1,true,249
130,k1_live,1,0,1,false,false,1,true,254
131,k1_live,1,0,1,false,false,1,true,232
132,k1_live,1,0,1,true,true,1,true,205
133,k1_live,1,0,1,false,false,1,true,189
134,k1_live,1,0,1,false,false,1,true,268
135,k1_live,1,0,1,false,false,1,true,279
136,k1_live,1,0,1,false,false,1,true,253
137,k1_live,1,0,1,true,false,1,true,247
138,k1_live,1,0,1,false,false,1,true,250
139,k1_live,1,0,1,false,false,1,true,235
140,k1_live,1,0,1,false,false,1,true,274
141,k1_live,1,0,1,true,true,1,true,314
142,k1_live,1,0,1,false,false,1,true,237
143,k1_live,1,0,1,false,false,1,true,207
144,k1_live,1,0,1,true,true,1,true,219
145,k1_live,1,0,1,false,false,1,true,327
146,k1_live,1,0,1,false,false,1,true,255
147,k1_live,1,0,1,false,false,1,true,265
148,k1_live,1,0,1,false,false,1,true,283
149,k1_live,1,0,1,true,true,1,true,236
150,k1_live,1,0,1,false,false,1,true,325
151,k1_live,1,0,1,false,false,1,true,213
152,k1_live,1,0,1,false,false,1,true,282
153,k1_live,1,0,1,true,true,1,true,247
154,k1_live,1,0,1,false,false,1,true,239
155,k1_live,1,0,1,false,true,1,true,238
156,k1_live,1,0,1,true,true,1,true,286
157,k1_live,1,0,1,false,false,1,true,291
158,k1_live,1,0,1,false,false,1,true,267
159,k1_live,1,0,1,false,false,1,true,293
160,k1_live,1,0,1,false,false,1,true,241
161,k1_live,1,0,1,true,false,1,true,242
162,k1_live,1,0,1,false,false,1,true,199
163,k1_live,1,0,1,false,false,1,true,278
164,k1_live,1,0,1,false,false,1,true,216
165,k1_live,1,0,1,true,true,1,true,264
166,k1_live,1,0,1,false,false,1,true,227
167,k1_live,1,0,1,false,false,1,true,288
168,k1_live,1,0,1,true,true,1,true,267
169,k1_live,1,0,1,false,false,1,true,284
170,k1_live,1,0,1,false,false,1,true,319
171,k1_live,1,0,1,false,false,1,true,258
172,k1_live,1,0,1,false,false,1,true,272
173,k1_live,1,0,1,true,true,1,true,235
174,k1_live,1,0,1,false,false,1,true,241
175,k1_live,1,0,1,false,false,1,true,226
176,k1_live,1,0,1,false,false,1,true,282
177,k1_live,1,0,1,true,true,1,true,239
178,k1_live,1,0,1,false,false,1,true,244
179,k1_live,1,0,1,false,false,1,true,267
180,k1_live,1,0,1,true,true,1,true,231
181,k1_live,1,0,1,false,false,1,true,285
182,k1_live,1,0,1,false,false,1,true,274
183,k1_live,1,0,1,false,false,1,true,274
184,k1_live,1,0,1,false,false,1,true,271
185,k1_live,1,0,1,true,false,1,true,274
186,k1_live,1,0,1,false,false,1,true,359
187,k1_live,1,0,1,false,false,1,true,269
188,k1_live,1,0,1,false,false,1,true,277
189,k1_live,1,0,1,true,true,1,true,243
190,k1_live,1,0,1,false,false,1,true,223
191,k1_live,1,0,1,false,false,1,true,260
192,k1_live,1,0,1,true,true,1,true,267
193,k1_live,1,0,1,false,false,1,true,274
194,k1_live,1,0,1,false,false,1,true,258
195,k1_live,1,0,1,false,false,1,true,289
196,k1_live,1,0,1,false,false,1,true,188
197,k1_live,1,0,1,true,true,1,true,237
198,k1_live,1,0,1,false,false,1,true,322
199,k1_live,1,0,1,false,false,1,true,359
200,k1_live,1,0,1,false,false,1,true,341
201,k1_live,1,0,1,true,true,1,true,325
202,k1_live,1,0,1,false,false,1,true,277
203,k1_live,1,0,1,false,false,1,true,234
204,k1_live,1,0,1,true,true,1,true,237
205,k1_live,1,0,1,false,false,1,true,266
206,k1_live,1,0,1,false,false,1,true,267
207,k1_live,1,0,1,false,false,1,true,248
208,k1_live,1,0,1,false,false,1,true,279
209,k1_live,1,0,1,true,false,1,true,324
210,k1_live,1,0,1,false,false,1,true,231
211,k1_live,1,0,1,false,false,1,true,216
212,k1_live,1,0,1,false,false,1,true,273
213,k1_live,1,0,1,true,true,1,true,276
214,k1_live,1,0,1,false,false,1,true,197
215,k1_live,1,0,1,false,true,1,true,239
216,k1_live,1,0,1,true,true,1,true,305
217,k1_live,1,0,1,false,false,1,true,304
218,k1_live,1,0,1,false,false,1,true,340
219,k1_live,1,0,1,false,false,1,true,306
220,k1_live,1,0,1,false,false,1,true,375
221,k1_live,1,0,1,true,true,1,true,311
222,k1_live,1,0,1,false,false,1,true,257
223,k1_live,1,0,1,false,false,1,true,287
224,k1_live,1,0,1,false,false,1,true,263
225,k1_live,1,0,1,true,true,1,true,286
226,k1_live,1,0,1,false,false,1,true,256
227,k1_live,1,0,1,false,false,1,true,245
228,k1_live,1,0,1,true,true,1,true,408
229,k1_live,1,0,1,false,false,1,true,287
230,k1_live,1,0,1,false,false,1,true,287
231,k1_live,1,0,1,false,false,1,true,279
232,k1_live,1,0,1,false,false,1,true,326
233,k1_live,1,0,1,true,true,1,true,332
234,k1_live,1,0,1,false,false,1,true,300
235,k1_live,1,0,1,false,false,1,true,339
236,k1_live,1,0,1,false,false,1,true,297
237,k1_live,1,0,1,true,true,1,true,287
238,k1_live,1,0,1,false,false,1,true,279
239,k1_live,1,0,1,false,false,1,true,300
0,k2_live,2,0,1,true,true,2,true,575
1,k2_live,2,0,1,false,false,2,true,557
2,k2_live,2,0,1,false,false,2,true,714
3,k2_live,2,0,1,false,false,2,true,624
4,k2_live,2,0,1,false,false,5,true,1591
5,k2_live,2,0,1,true,false,2,true,657
6,k2_live,2,0,1,false,false,2,true,615
7,k2_live,2,0,1,false,false,2,true,590
8,k2_live,2,0,1,false,false,2,true,611
9,k2_live,2,0,1,true,true,2,true,680
10,k2_live,2,0,1,false,false,7,true,2106
11,k2_live,2,0,1,false,false,6,true,1715
12,k2_live,2,0,1,true,true,2,true,634
13,k2_live,2,0,1,false,false,2,true,665
14,k2_live,2,0,1,false,false,9,true,2759
15,k2_live,2,0,1,false,false,2,true,613
16,k2_live,2,0,1,false,false,20,false,6053
17,k2_live,2,0,1,true,true,2,true,585
18,k2_live,2,0,1,false,false,7,true,2060
19,k2_live,2,0,1,false,false,2,true,582
20,k2_live,2,0,1,false,false,2,true,544
21,k2_live,2,0,1,true,true,2,true,557
22,k2_live,2,0,1,false,false,2,true,508
23,k2_live,2,0,1,false,false,2,true,621
24,k2_live,2,0,1,true,true,2,true,575
25,k2_live,2,0,1,false,false,4,true,1363
26,k2_live,2,0,1,false,false,5,true,1462
27,k2_live,2,0,1,false,false,2,true,634
28,k2_live,2,0,1,false,false,15,true,4543
29,k2_live,2,0,1,true,true,2,true,483
30,k2_live,2,0,1,false,false,2,true,546
31,k2_live,2,0,1,false,false,2,true,542
32,k2_live,2,0,1,false,false,2,true,559
33,k2_live,2,0,1,true,true,2,true,551
34,k2_live,2,0,1,false,false,2,true,668
35,k2_live,2,0,1,false,false,4,true,1140
36,k2_live,2,0,1,true,true,2,true,613
37,k2_live,2,0,1,false,false,2,true,662
38,k2_live,2,0,1,false,false,4,true,1147
39,k2_live,2,0,1,false,false,2,true,548
40,k2_live,2,0,1,false,false,11,true,3467
41,k2_live,2,0,1,true,true,5,true,1469
42,k2_live,2,0,1,false,false,5,true,1450
43,k2_live,2,0,1,false,false,2,true,590
44,k2_live,2,0,1,false,false,2,true,574
45,k2_live,2,0,1,true,true,2,true,567
46,k2_live,2,0,1,false,false,4,true,1096
47,k2_live,2,0,1,false,false,2,true,508
48,k2_live,2,0,1,true,true,2,true,570
49,k2_live,2,0,1,false,false,2,true,608
50,k2_live,2,0,1,false,false,2,true,600
51,k2_live,2,0,1,false,false,2,true,597
52,k2_live,2,0,1,false,false,9,true,2643
53,k2_live,2,0,1,false,true,20,false,5834
54,k2_live,2,0,1,false,false,8,true,2433
55,k2_live,2,0,1,false,false,2,true,576
56,k2_live,2,0,1,false,false,2,true,551
57,k2_live,2,0,1,true,true,2,true,533
58,k2_live,2,0,1,false,false,2,true,570
59,k2_live,2,0,1,false,false,4,true,1122
60,k2_live,2,0,1,true,true,2,true,557
61,k2_live,2,0,1,false,false,2,true,588
62,k2_live,2,0,1,false,false,14,true,4042
63,k2_live,2,0,1,false,false,2,true,613
64,k2_live,2,0,1,false,false,12,true,3580
65,k2_live,2,0,1,true,false,9,true,2602
66,k2_live,2,0,1,false,false,4,true,1151
67,k2_live,2,0,1,false,false,2,true,535
68,k2_live,2,0,1,false,false,2,true,552
69,k2_live,2,0,1,true,true,2,true,566
70,k2_live,2,0,1,false,false,2,true,580
71,k2_live,2,0,1,false,false,5,true,1359
72,k2_live,2,0,1,true,true,2,true,526
73,k2_live,2,0,1,false,false,2,true,514
74,k2_live,2,0,1,false,false,8,true,2226
75,k2_live,2,0,1,false,false,2,true,491
76,k2_live,2,0,1,false,false,14,true,4117
77,k2_live,2,0,1,true,false,2,true,549
78,k2_live,2,0,1,false,false,2,true,589
79,k2_live,2,0,1,false,false,2,true,574
80,k2_live,2,0,1,false,false,2,true,558
81,k2_live,2,0,1,true,true,2,true,516
82,k2_live,2,0,1,false,false,2,true,508
83,k2_live,2,0,1,false,false,4,true,1168
84,k2_live,2,0,1,true,true,2,true,470
85,k2_live,2,0,1,false,false,2,true,493
86,k2_live,2,0,1,false,false,6,true,1589
87,k2_live,2,0,1,false,false,2,true,537
88,k2_live,2,0,1,false,false,9,true,2609
89,k2_live,2,0,1,true,false,7,true,2024
90,k2_live,2,0,1,false,false,8,true,2339
91,k2_live,2,0,1,false,false,2,true,587
92,k2_live,2,0,1,false,false,2,true,533
93,k2_live,2,0,1,true,true,2,true,450
94,k2_live,2,0,1,false,false,4,true,1087
95,k2_live,2,0,1,false,false,2,true,670
96,k2_live,2,0,1,true,true,2,true,578
97,k2_live,2,0,1,false,false,2,true,525
98,k2_live,2,0,1,false,false,5,true,1364
99,k2_live,2,0,1,false,false,2,true,595
100,k2_live,2,0,1,false,false,20,false,5585
101,k2_live,2,0,1,true,true,2,true,598
102,k2_live,2,0,1,false,false,10,true,2870
103,k2_live,2,0,1,false,false,2,true,555
104,k2_live,2,0,1,false,false,2,true,549
105,k2_live,2,0,1,true,true,2,true,641
106,k2_live,2,0,1,false,false,4,true,1130
107,k2_live,2,0,1,false,true,2,true,473
108,k2_live,2,0,1,true,true,2,true,526
109,k2_live,2,0,1,false,false,2,true,506
110,k2_live,2,0,1,false,false,2,true,509
111,k2_live,2,0,1,false,false,2,true,604
112,k2_live,2,0,1,false,false,7,true,1748
113,k2_live,2,0,1,true,true,4,true,1051
114,k2_live,2,0,1,false,false,5,true,1140
115,k2_live,2,0,1,false,false,2,true,473
116,k2_live,2,0,1,false,false,2,true,544
117,k2_live,2,0,1,true,true,2,true,553
118,k2_live,2,0,1,false,false,2,true,540
119,k2_live,2,0,1,false,true,5,true,1291
120,k2_live,2,0,1,true,true,2,true,489
121,k2_live,2,0,1,false,false,2,true,527
122,k2_live,2,0,1,false,false,2,true,494
123,k2_live,2,0,1,false,false,2,true,517
124,k2_live,2,0,1,false,false,2,true,605
125,k2_live,2,0,1,true,false,7,true,1951
126,k2_live,2,0,1,false,false,6,true,1714
127,k2_live,2,0,1,false,false,2,true,574
128,k2_live,2,0,1,false,false,2,true,535
129,k2_live,2,0,1,true,true,2,true,538
130,k2_live,2,0,1,false,false,2,true,526
131,k2_live,2,0,1,false,false,6,true,1515
132,k2_live,2,0,1,true,true,2,true,487
133,k2_live,2,0,1,false,false,2,true,555
134,k2_live,2,0,1,false,false,2,true,553
135,k2_live,2,0,1,false,false,2,true,538
136,k2_live,2,0,1,false,false,20,false,5235
137,k2_live,2,0,1,true,false,2,true,763
138,k2_live,2,0,1,false,false,4,true,1124
139,k2_live,2,0,1,false,false,2,true,501
140,k2_live,2,0,1,false,false,2,true,581
141,k2_live,2,0,1,true,true,2,true,643
142,k2_live,2,0,1,false,false,2,true,572
143,k2_live,2,0,1,false,false,2,true,533
144,k2_live,2,0,1,true,true,2,true,582
145,k2_live,2,0,1,false,false,4,true,1119
146,k2_live,2,0,1,false,false,4,true,1056
147,k2_live,2,0,1,false,false,2,true,653
148,k2_live,2,0,1,false,false,20,false,5775
149,k2_live,2,0,1,true,true,2,true,570
150,k2_live,2,0,1,false,false,2,true,538
151,k2_live,2,0,1,false,false,2,true,527
152,k2_live,2,0,1,false,false,2,true,516
153,k2_live,2,0,1,true,true,2,true,570
154,k2_live,2,0,1,false,false,2,true,557
155,k2_live,2,0,1,false,false,10,true,2639
156,k2_live,2,0,1,true,true,2,true,561
157,k2_live,2,0,1,false,false,2,true,591
158,k2_live,2,0,1,false,false,5,true,1405
159,k2_live,2,0,1,false,false,2,true,547
160,k2_live,2,0,1,false,false,20,false,5600
161,k2_live,2,0,1,true,false,4,true,997
162,k2_live,2,0,1,false,false,6,true,1575
163,k2_live,2,0,1,false,false,2,true,627
164,k2_live,2,0,1,false,false,2,true,570
165,k2_live,2,0,1,true,true,2,true,573
166,k2_live,2,0,1,false,false,2,true,561
167,k2_live,2,0,1,false,false,4,true,1092
168,k2_live,2,0,1,true,true,2,true,614
169,k2_live,2,0,1,false,false,2,true,539
170,k2_live,2,0,1,false,false,2,true,551
171,k2_live,2,0,1,false,false,2,true,567
172,k2_live,2,0,1,false,false,20,false,5767
173,k2_live,2,0,1,true,true,5,true,1355
174,k2_live,2,0,1,false,false,4,true,1094
175,k2_live,2,0,1,false,false,2,true,606
176,k2_live,2,0,1,false,false,2,true,643
