trial_id,config_id,k_margin,base_accuracy,steps,voting_correct,single_correct,total_samples,converged,elapsed_ms
0,k1_live,1,0,1,true,true,1,true,1635
1,k1_live,1,0,1,true,true,1,true,1437
2,k1_live,1,0,1,true,true,1,true,1534
3,k1_live,1,0,1,true,true,1,true,1401
4,k1_live,1,0,1,true,true,1,true,1505
5,k1_live,1,0,1,true,true,1,true,2046
6,k1_live,1,0,1,true,true,1,true,6452
7,k1_live,1,0,1,true,true,1,true,2067
8,k1_live,1,0,1,true,true,1,true,2160
9,k1_live,1,0,1,true,true,1,true,1487
10,k1_live,1,0,1,true,true,1,true,1830
11,k1_live,1,0,1,true,true,1,true,1687
12,k1_live,1,0,1,true,true,1,true,1757
13,k1_live,1,0,1,true,true,1,true,1638
14,k1_live,1,0,1,true,true,1,true,1998
15,k1_live,1,0,1,true,true,1,true,1593
16,k1_live,1,0,1,true,true,1,true,3572
17,k1_live,1,0,1,true,true,1,true,1851
18,k1_live,1,0,1,true,true,1,true,1767
19,k1_live,1,0,1,true,true,1,true,2153
20,k1_live,1,0,1,true,true,1,true,1765
21,k1_live,1,0,1,true,true,1,true,1740
22,k1_live,1,0,1,true,true,1,true,3604
23,k1_live,1,0,1,true,true,1,true,2251
24,k1_live,1,0,1,true,true,1,true,6180
25,k1_live,1,0,1,true,true,1,true,1656
26,k1_live,1,0,1,true,true,1,true,1505
27,k1_live,1,0,1,true,true,1,true,1955
28,k1_live,1,0,1,true,true,1,true,1948
29,k1_live,1,0,1,true,true,1,true,2397
30,k1_live,1,0,1,true,true,1,true,2239
31,k1_live,1,0,1,true,true,1,true,1651
32,k1_live,1,0,1,true,true,1,true,1850
33,k1_live,1,0,1,true,true,1,true,2736
34,k1_live,1,0,1,true,true,1,true,2661
35,k1_live,1,0,1,true,true,1,true,3852
36,k1_live,1,0,1,true,true,1,true,2151
37,k1_live,1,0,1,true,true,1,true,2922
38,k1_live,1,0,1,true,true,1,true,1388
39,k1_live,1,0,1,true,true,1,true,1680
40,k1_live,1,0,1,true,true,1,true,2450
41,k1_live,1,0,1,true,true,1,true,2242
42,k1_live,1,0,1,true,true,1,true,3078
43,k1_live,1,0,1,true,true,1,true,1988
44,k1_live,1,0,1,true,true,1,true,1851
45,k1_live,1,0,1,true,true,1,true,1881
46,k1_live,1,0,1,true,true,1,true,3745
47,k1_live,1,0,1,true,true,1,true,2053
48,k1_live,1,0,1,true,true,1,true,6142
49,k1_live,1,0,1,true,true,1,true,2849
50,k1_live,1,0,1,true,true,1,true,3619
51,k1_live,1,0,1,true,true,1,true,2559
52,k1_live,1,0,1,true,true,1,true,2452
53,k1_live,1,0,1,true,true,1,true,1945
54,k1_live,1,0,1,true,true,1,true,2184
55,k1_live,1,0,1,true,true,1,true,1650
56,k1_live,1,0,1,true,true,1,true,2264
57,k1_live,1,0,1,true,true,1,true,1711
58,k1_live,1,0,1,true,true,1,true,4249
59,k1_live,1,0,1,true,true,1,true,1984
60,k1_live,1,0,1,true,true,1,true,1681
61,k1_live,1,0,1,true,true,1,true,1788
62,k1_live,1,0,1,true,true,1,true,1611
63,k1_live,1,0,1,true,true,1,true,1695
64,k1_live,1,0,1,true,true,1,true,2282
65,k1_live,1,0,1,true,true,1,true,2042
66,k1_live,1,0,1,true,true,1,true,1946
67,k1_live,1,0,1,true,true,1,true,1810
68,k1_live,1,0,1,true,true,1,true,1603
69,k1_live,1,0,1,true,true,1,true,1518
70,k1_live,1,0,1,true,true,1,true,3280
71,k1_live,1,0,1,true,true,1,true,1927
72,k1_live,1,0,1,true,true,1,true,1615
73,k1_live,1,0,1,true,true,1,true,1381
74,k1_live,1,0,1,true,true,1,true,1738
75,k1_live,1,0,1,true,true,1,true,1778
76,k1_live,1,0,1,true,true,1,true,1825
77,k1_live,1,0,1,true,true,1,true,2716
78,k1_live,1,0,1,true,true,1,true,2409
79,k1_live,1,0,1,true,true,1,true,2270
80,k1_live,1,0,1,true,true,1,true,1821
81,k1_live,1,0,1,true,true,1,true,1523
82,k1_live,1,0,1,true,true,1,true,1898
83,k1_live,1,0,1,true,true,1,true,2570
84,k1_live,1,0,1,true,true,1,true,1941
85,k1_live,1,0,1,true,true,1,true,1766
86,k1_live,1,0,1,true,true,1,true,2039
87,k1_live,1,0,1,true,true,1,true,1702
88,k1_live,1,0,1,true,true,1,true,1985
89,k1_live,1,0,1,true,true,1,true,1585
90,k1_live,1,0,1,true,true,1,true,1600
91,k1_live,1,0,1,true,true,1,true,2316
92,k1_live,1,0,1,true,true,1,true,2081
93,k1_live,1,0,1,true,true,1,true,1727
94,k1_live,1,0,1,true,true,1,true,2586
95,k1_live,1,0,1,true,true,1,true,1414
96,k1_live,1,0,1,true,true,1,true,1752
97,k1_live,1,0,1,true,true,1,true,3236
98,k1_live,1,0,1,true,true,1,true,1378
99,k1_live,1,0,1,true,true,1,true,2339
100,k1_live,1,0,1,true,true,1,true,1754
101,k1_live,1,0,1,true,true,1,true,2672
102,k1_live,1,0,1,true,true,1,true,1434
103,k1_live,1,0,1,true,true,1,true,1957
104,k1_live,1,0,1,true,true,1,true,1585
105,k1_live,1,0,1,true,true,1,true,2453
106,k1_live,1,0,1,true,true,1,true,1742
107,k1_live,1,0,1,true,true,1,true,1636
108,k1_live,1,0,1,true,true,1,true,3088
109,k1_live,1,0,1,true,true,1,true,2221
110,k1_live,1,0,1,true,true,1,true,1472
111,k1_live,1,0,1,true,true,1,true,1511
112,k1_live,1,0,1,true,true,1,true,3277
113,k1_live,1,0,1,true,true,1,true,2967
114,k1_live,1,0,1,true,true,1,true,1703
115,k1_live,1,0,1,true,true,1,true,2148
116,k1_live,1,0,1,true,true,1,true,1641
117,k1_live,1,0,1,true,true,1,true,2221
118,k1_live,1,0,1,true,true,1,true,2424
119,k1_live,1,0,1,true,true,1,true,2182
120,k1_live,1,0,1,true,true,1,true,4319
121,k1_live,1,0,1,true,true,1,true,1652
122,k1_live,1,0,1,true,true,1,true,1595
123,k1_live,1,0,1,true,true,1,true,2085
124,k1_live,1,0,1,true,true,1,true,1572
125,k1_live,1,0,1,true,true,1,true,2183
126,k1_live,1,0,1,true,true,1,true,1939
127,k1_live,1,0,1,true,true,1,true,2248
128,k1_live,1,0,1,true,true,1,true,1716
129,k1_live,1,0,1,true,true,1,true,1641
130,k1_live,1,0,1,true,true,1,true,3942
131,k1_live,1,0,1,true,true,1,true,1749
132,k1_live,1,0,1,true,true,1,true,1381
133,k1_live,1,0,1,true,true,1,true,1697
134,k1_live,1,0,1,true,true,1,true,1753
135,k1_live,1,0,1,true,true,1,true,3057
136,k1_live,1,0,1,true,true,1,true,1875
137,k1_live,1,0,1,true,true,1,true,1851
138,k1_live,1,0,1,true,true,1,true,1377
139,k1_live,1,0,1,true,true,1,true,1818
140,k1_live,1,0,1,true,true,1,true,1523
141,k1_live,1,0,1,true,true,1,true,1786
142,k1_live,1,0,1,true,true,1,true,1917
143,k1_live,1,0,1,true,true,1,true,3371
144,k1_live,1,0,1,true,true,1,true,1591
145,k1_live,1,0,1,true,true,1,true,1620
146,k1_live,1,0,1,true,true,1,true,1379
147,k1_live,1,0,1,true,true,1,true,1685
148,k1_live,1,0,1,true,true,1,true,1841
149,k1_live,1,0,1,true,true,1,true,2160
150,k1_live,1,0,1,true,true,1,true,2315
151,k1_live,1,0,1,true,true,1,true,1654
152,k1_live,1,0,1,true,true,1,true,1400
153,k1_live,1,0,1,true,true,1,true,1749
154,k1_live,1,0,1,true,true,1,true,1569
155,k1_live,1,0,1,true,true,1,true,1672
156,k1_live,1,0,1,true,true,1,true,1693
