trial_id,config_id,k_margin,base_accuracy,steps,voting_correct,single_correct,total_samples,converged,elapsed_ms
0,ollama_only,3,0,1,true,true,3,true,1688
0,openai_only,3,0,1,true,true,3,true,9344
0,ensemble,3,0,1,true,true,3,true,2547
1,ollama_only,3,0,1,false,false,3,true,384
1,openai_only,3,0,1,true,true,3,true,8219
1,ensemble,3,0,1,false,false,20,false,22295
2,ollama_only,3,0,1,false,false,15,true,1427
2,openai_only,3,0,1,true,true,3,true,7274
2,ensemble,3,0,1,true,false,9,true,8850
3,ollama_only,3,0,1,false,false,3,true,414
3,openai_only,3,0,1,true,true,3,true,6924
3,ensemble,3,0,1,false,false,20,false,17396
4,ollama_only,3,0,1,false,false,20,false,1933
4,openai_only,3,0,1,true,true,3,true,8042
4,ensemble,3,0,1,true,false,6,true,7813
5,ollama_only,3,0,1,true,false,5,true,593
5,openai_only,3,0,1,true,true,3,true,7965
5,ensemble,3,0,1,true,false,3,true,2443
6,ollama_only,3,0,1,false,false,6,true,617
6,openai_only,3,0,1,true,true,3,true,7244
6,ensemble,3,0,1,true,false,11,true,11073
7,ollama_only,3,0,1,false,false,3,true,418
7,openai_only,3,0,1,true,true,3,true,7561
7,ensemble,3,0,1,false,false,20,false,21327
8,ollama_only,3,0,1,false,false,3,true,414
8,openai_only,3,0,1,true,true,3,true,6844
8,ensemble,3,0,1,false,false,20,false,18059
9,ollama_only,3,0,1,true,true,3,true,412
9,openai_only,3,0,1,true,true,3,true,7242
9,ensemble,3,0,1,false,true,20,false,19455
10,ollama_only,3,0,1,false,false,3,true,412
10,openai_only,3,0,1,true,true,3,true,7670
10,ensemble,3,0,1,false,false,20,false,20896
11,ollama_only,3,0,1,false,false,11,true,1111
11,openai_only,3,0,1,true,true,3,true,7388
11,ensemble,3,0,1,true,false,20,true,20196
