trial_id,config_id,k_margin,base_accuracy,steps,voting_correct,single_correct,total_samples,converged,elapsed_ms
0,decorr_ollama_k1,1,0,1,true,true,1,true,253
0,decorr_openai_k1,1,0,1,true,true,1,true,3428
0,decorr_ensemble_k1,1,0,1,true,true,1,true,134
1,decorr_ollama_k1,1,0,1,false,false,1,true,200
1,decorr_openai_k1,1,0,1,true,true,1,true,4178
1,decorr_ensemble_k1,1,0,1,true,false,1,true,1728
2,decorr_ollama_k1,1,0,1,false,false,1,true,266
2,decorr_openai_k1,1,0,1,true,true,1,true,3022
2,decorr_ensemble_k1,1,0,1,false,false,1,true,141
3,decorr_ollama_k1,1,0,1,false,false,1,true,207
3,decorr_openai_k1,1,0,1,true,true,1,true,3979
3,decorr_ensemble_k1,1,0,1,true,false,1,true,1805
4,decorr_ollama_k1,1,0,1,false,false,1,true,267
4,decorr_openai_k1,1,0,1,true,true,1,true,3082
4,decorr_ensemble_k1,1,0,1,false,false,1,true,153
5,decorr_ollama_k1,1,0,1,true,true,1,true,221
5,decorr_openai_k1,1,0,1,true,true,1,true,3659
5,decorr_ensemble_k1,1,0,1,true,true,1,true,1742
6,decorr_ollama_k1,1,0,1,false,false,1,true,259
6,decorr_openai_k1,1,0,1,true,true,1,true,3861
6,decorr_ensemble_k1,1,0,1,false,false,1,true,143
7,decorr_ollama_k1,1,0,1,false,false,1,true,210
7,decorr_openai_k1,1,0,1,true,true,1,true,4727
7,decorr_ensemble_k1,1,0,1,true,false,1,true,3096
8,decorr_ollama_k1,1,0,1,false,false,1,true,261
8,decorr_openai_k1,1,0,1,true,true,1,true,3204
8,decorr_ensemble_k1,1,0,1,false,false,1,true,141
9,decorr_ollama_k1,1,0,1,true,true,1,true,212
9,decorr_openai_k1,1,0,1,true,true,1,true,3087
9,decorr_ensemble_k1,1,0,1,true,true,1,true,1781
10,decorr_ollama_k1,1,0,1,false,false,1,true,253
10,decorr_openai_k1,1,0,1,true,true,1,true,5036
10,decorr_ensemble_k1,1,0,1,false,false,1,true,135
11,decorr_ollama_k1,1,0,1,false,false,1,true,206
11,decorr_openai_k1,1,0,1,true,true,1,true,3831
11,decorr_ensemble_k1,1,0,1,true,false,1,true,1444
12,decorr_ollama_k1,1,0,1,true,true,1,true,260
12,decorr_openai_k1,1,0,1,true,true,1,true,3051
12,decorr_ensemble_k1,1,0,1,true,true,1,true,143
13,decorr_ollama_k1,1,0,1,false,false,1,true,225
13,decorr_openai_k1,1,0,1,true,true,1,true,3839
13,decorr_ensemble_k1,1,0,1,true,false,1,true,1708
14,decorr_ollama_k1,1,0,1,false,false,1,true,252
14,decorr_openai_k1,1,0,1,true,true,1,true,2984
14,decorr_ensemble_k1,1,0,1,false,false,1,true,136
15,decorr_ollama_k1,1,0,1,false,false,1,true,212
15,decorr_openai_k1,1,0,1,true,true,1,true,3244
15,decorr_ensemble_k1,1,0,1,true,false,1,true,1787
16,decorr_ollama_k1,1,0,1,false,false,1,true,265
16,decorr_openai_k1,1,0,1,true,true,1,true,4724
16,decorr_ensemble_k1,1,0,1,false,false,1,true,155
17,decorr_ollama_k1,1,0,1,true,false,1,true,194
17,decorr_openai_k1,1,0,1,true,true,1,true,3883
17,decorr_ensemble_k1,1,0,1,true,false,1,true,2333
18,decorr_ollama_k1,1,0,1,false,false,1,true,265
18,decorr_openai_k1,1,0,1,true,true,1,true,4631
